CUSTOMER_CODE;CUSTOMER_NAME;CUSTOMER_ADDRESS;DIST_CHANNEL;CHANNEL_NAME;BRANCH_ID;BRANCH_DESC;PHONE1;FAX;CITY;POSTAL_CODE;NPWP;GRUP
52961;AP. TAMAN ASRI;JL.CILEDUG RAYA NO.9 LARANGAN, CILEDUG;14;Apotek;JK2;JAKARTA-2;;;TANGERANG;15154;01.484.023.5.416.000;
1040702;AP. ISMA FARMA;JL.ADHI KARYA NO.5B RT.009 RW.005,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT;14;Apotek;JK2;JAKARTA-2;;;JAKARTA BARAT;11520;83.818.910.8-086.000;
52941;PT. BINARA GUNA MEDIKTAMA (RS.PONDOK INDAH);RSPI / JL. METRO DUTA KAV.UE, PONDOK INDAH, KEBAYORAN LAMA;21;RS Swasta;JK2;JAKARTA-2;;;JAKARTA SELATAN;12310;01.372.551.0-062.000;
640589;TK. HARMONY;JL. RAYA RACI NO. 2 BANGIL (DEPAN PIER) PASURUAN;32;Toko Kelontong;MLG;MALANG;;;PASURUAN;67153;;
631156;AP. SARANGAN MEDIKA;JL. SARANGAN NO.21B LOWOKWARU MALANG KOTA;14;Apotek;MLG;MALANG;;;MALANG;65141;14.401.496.6-652.000;
1011168;AP. FAMILY FARMA;RUKO PURI NIAGA F88A PANDAN WANGI BLIMBING - MALANG;14;Apotek;MLG;MALANG;;;MALANG;65124;34.975.279.0-652.000;
1291192;AP. CINTA SEHAT;JL. KH. AGUS SALIM NO. 50V RT.07 RW.06;14;Apotek;BKS;BEKASI;;;BEKASI;17112;67.729.471.2-407.000;
1007101;PT.GOGOBLI ASIA TEKNOLOGI;JL.PALMERAH UTARA NO.61A RT.001 RW.001,GELORA,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA, JAKARTA PUSAT D;13;E-Commerce;TGR;TANGERANG;;;JAKARTA PUSAT;10270;80.009.996.2-077.000;
691932;AP. K-24 ANGGREK CIKARANG BARU;JL.ANGGREK KAVLING B1 NO.23 MEKARMUKTI CIKARANG UTARA;16;Apotek Chain;BKS;BEKASI;89835523;;CIKARANG;17550;31.204.387.0-414.000;K-24 GROUP
1348320;AP. SIHAT;JL. SIJUK NO.1C;14;Apotek;PKP;PANGKAL PINANG;;;TANJUNG PANDAN;33414;26.721.239.7-416.000;
1049388;AP. ROYAL;JL. RAYA CILEUNGSI JONGGOL KM 1,5 NO.16 CILEUNGSI KIDUL, CILEUNGSI BOGOR;14;Apotek;BKS;BEKASI;;;BOGOR;16820;85.463.640.4-436.000;
